date,consumer_sentiment,core_pce_inf,unemployment,cbo_unemployment,core_pce_real,interest
2004-12-01,4.5,1.2184674670369178,5.4,,4.06666759690777,2.16
2005-01-01,-8.299999999999997,1.4297373804863114,5.2,5.0,3.547890589944125,2.28
2005-02-01,-0.30000000000001137,1.517201732311642,5.4,,3.7543669420676324,2.5
2005-03-01,-3.200000000000003,1.6060688362337316,5.2,,3.2386891739658887,2.63
2005-04-01,-6.5,1.5838987210184516,5.2,5.0,4.375451517222776,2.79
2005-05-01,-3.299999999999997,1.560042912024536,5.1,,3.1304163102578846,3.0
2005-06-01,0.4000000000000057,1.4895757177190772,5.0,,4.683585230593082,3.04
2005-07-01,-0.20000000000000284,1.5186062671032254,5.0,5.0,4.579732467467484,3.26
2005-08-01,-6.800000000000011,1.7232675417121626,4.9,,3.8491355340620266,3.5
2005-09-01,-17.299999999999997,1.8171082286867148,5.1,,2.8178630858588427,3.62
2005-10-01,-17.5,1.821995726301574,5.0,5.0,2.81786308585884,3.78
2005-11-01,-11.200000000000003,1.834618271729722,5.0,,3.331438825548446,4.0
2005-12-01,-5.599999999999994,1.9650966816577005,4.9,,3.023599385154564,4.16
2006-01-01,-4.299999999999997,1.8157275251002685,4.7,5.0,4.159130039700352,4.29
2006-02-01,-7.3999999999999915,1.7518796872269409,4.8,,3.6409254126371833,4.49
2006-03-01,-3.6999999999999886,1.814988610802833,4.7,,3.8480001886864117,4.59
2006-04-01,-0.29999999999999716,1.9701131386338089,4.7,5.0,3.025441771350282,4.79
2006-05-01,-7.800000000000011,1.974898175361347,4.6,,3.5436783999788144,4.94
2006-06-01,-11.099999999999994,2.178246616721137,4.6,,2.6219245863291465,4.99
2006-07-01,-11.799999999999997,2.256938162025191,4.8,5.0,2.2142903277935817,5.24
2006-08-01,-7.099999999999994,2.299314669880175,4.7,,2.727929977681984,5.25
2006-09-01,8.5,2.2766487916226543,4.6,,3.655263347590839,5.25
2006-10-01,19.39999999999999,2.3682052555539035,4.4,5.0,3.7587117142051913,5.25
2006-11-01,10.5,2.2730880690990847,4.5,,3.4492920967671994,5.25
2006-12-01,0.20000000000000284,2.270749677966762,4.5,,3.655366383812546,5.24
2007-01-01,5.700000000000003,2.3698180239091795,4.6,5.0,2.6280584910096634,5.25
2007-02-01,4.599999999999994,2.5788576249346735,4.5,,2.525430432518658,5.26
2007-03-01,-0.5,2.3010337402173953,4.4,,2.627649206628854,5.26
2007-04-01,-0.30000000000001137,2.1639119084172114,4.5,5.0,2.320380795830565,5.25
2007-05-01,9.200000000000003,2.0487337379773036,4.5,,2.934917617427119,5.25
2007-06-01,0.3999999999999915,1.9518334732513387,4.5,,2.6267292413270487,5.25
2007-07-01,5.700000000000003,1.9455074532804082,4.6,5.0,2.5244094713955176,5.26
2007-08-01,1.4000000000000057,1.7976364668985108,4.6,,2.934507109281097,5.02
2007-09-01,-2.0,1.8074958577830902,4.7,,2.320583607635287,4.94
2007-10-01,-12.699999999999989,1.756051334051874,4.7,5.01,2.116554527659946,4.76
2007-11-01,-16.0,1.948601062886628,4.7,,1.9129322853316075,4.49
2007-12-01,-16.200000000000003,2.0533727597235765,5.0,,1.102491471929364,4.24
2008-01-01,-18.5,2.103610296179175,4.9,5.03,1.2036951670964542,3.94
2008-02-01,-20.5,1.879816365324424,4.8,,1.102390166929179,2.98
2008-03-01,-18.900000000000006,2.0016523925916765,5.1,,0.5988922079305238,2.61
2008-04-01,-24.499999999999993,2.029734626581579,5.0,5.05,1.001690575129436,2.28
2008-05-01,-28.5,2.0378026853242055,5.5,,0.7001929913230942,1.98
2008-06-01,-28.9,2.1620037849342446,5.5,,0.7001929913230948,2.0
2008-07-01,-29.200000000000003,2.3079748230632617,5.7,5.08,0.19769701831249462,2.01
2008-08-01,-20.400000000000006,2.4676334948499523,6.1,,-0.10169849070636956,2.0
2008-09-01,-13.100000000000009,2.4566376816155766,6.1,,-0.80098660127142,1.81
2008-10-01,-23.300000000000004,2.2654942043750212,6.5,5.12,-1.5937859091533635,0.97
2008-11-01,-20.799999999999997,2.0256195105979944,6.7,,-1.888709627707334,0.39
2008-12-01,-15.399999999999999,1.7677745474870967,7.2,,-2.1836333462613076,0.16
2009-01-01,-17.200000000000003,1.5815363800106979,7.6,5.15,-1.890184246300096,0.15
2009-02-01,-14.5,1.7145530347277156,8.1,,-1.9884906749110098,0.22
2009-03-01,-12.200000000000003,1.7268131704922443,8.5,,-2.4790387696311678,0.18
2009-04-01,2.499999999999993,1.8475988865623083,8.9,5.17,-2.8679558632717206,0.15
